iE,itp,content
6,7,3.390000000000e+02
6,8,1.180000000000e+03
6,9,9.790000000000e+02
6,10,8.050000000000e+02
6,11,8.280000000000e+02
6,12,1.021000000000e+03
6,13,1.215000000000e+03
6,14,1.258000000000e+03
6,15,1.394000000000e+03
6,16,1.580000000000e+03
6,17,1.618000000000e+03
6,18,1.672000000000e+03
6,19,1.682000000000e+03
6,20,1.644000000000e+03
6,21,1.741000000000e+03
6,22,1.662000000000e+03
6,23,1.689000000000e+03
6,24,1.609000000000e+03
6,25,1.695000000000e+03
6,26,1.594000000000e+03
6,27,1.721000000000e+03
6,28,1.712000000000e+03
6,29,1.730000000000e+03
6,30,1.703000000000e+03
6,31,1.722000000000e+03
6,32,1.842000000000e+03
6,33,1.745000000000e+03
6,34,1.778000000000e+03
6,35,1.764000000000e+03
6,36,1.829000000000e+03
6,37,1.832000000000e+03
6,38,1.951000000000e+03
6,39,1.860000000000e+03
6,40,1.955000000000e+03
6,41,1.874000000000e+03
6,42,1.876000000000e+03
6,43,1.903000000000e+03
6,44,1.952000000000e+03
6,45,1.975000000000e+03
6,46,1.895000000000e+03
6,47,1.772000000000e+03
6,48,1.532000000000e+03
6,49,1.314000000000e+03
6,50,8.540000000000e+02
6,51,4.090000000000e+02
6,52,1.010000000000e+02
6,53,5.000000000000e+00
6,54,0.000000000000e+00
6,55,0.000000000000e+00
6,56,0.000000000000e+00
6,57,0.000000000000e+00
6,58,0.000000000000e+00
6,59,0.000000000000e+00
6,60,0.000000000000e+00
6,61,0.000000000000e+00
6,62,0.000000000000e+00
6,63,0.000000000000e+00
6,64,0.000000000000e+00
6,65,0.000000000000e+00
6,66,0.000000000000e+00
6,67,0.000000000000e+00
6,68,0.000000000000e+00
6,69,0.000000000000e+00
6,70,0.000000000000e+00
6,71,0.000000000000e+00
6,72,0.000000000000e+00
6,73,0.000000000000e+00
6,74,0.000000000000e+00
6,75,0.000000000000e+00
6,76,0.000000000000e+00
6,77,0.000000000000e+00
6,78,0.000000000000e+00
6,79,0.000000000000e+00
6,80,0.000000000000e+00
7,1,0.000000000000e+00
7,2,0.000000000000e+00
7,3,0.000000000000e+00
7,4,1.000000000000e+00
7,5,1.000000000000e+00
7,6,3.160000000000e+02
7,7,1.212000000000e+03
7,8,8.680000000000e+02
7,9,7.890000000000e+02
7,10,9.650000000000e+02
7,11,1.071000000000e+03
7,12,1.272000000000e+03
7,13,1.434000000000e+03
7,14,1.469000000000e+03
7,15,1.591000000000e+03
7,16,1.592000000000e+03
7,17,1.684000000000e+03
7,18,1.743000000000e+03
7,19,1.714000000000e+03
7,20,1.749000000000e+03
7,21,1.641000000000e+03
7,22,1.726000000000e+03
7,23,1.693000000000e+03
7,24,1.712000000000e+03
7,25,1.746000000000e+03
7,26,1.666000000000e+03
7,27,1.708000000000e+03
7,28,1.771000000000e+03
7,29,1.779000000000e+03
7,30,1.706000000000e+03
7,31,1.803000000000e+03
7,32,1.754000000000e+03
7,33,1.750000000000e+03
7,34,1.768000000000e+03
7,35,1.891000000000e+03
7,36,1.800000000000e+03
7,37,1.794000000000e+03
7,38,1.875000000000e+03
7,39,1.850000000000e+03
7,40,1.851000000000e+03
7,41,1.779000000000e+03
7,42,1.889000000000e+03
7,43,1.902000000000e+03
7,44,1.887000000000e+03
7,45,1.912000000000e+03
7,46,1.880000000000e+03
7,47,1.830000000000e+03
7,48,1.638000000000e+03
7,49,1.579000000000e+03
7,50,1.198000000000e+03
7,51,8.550000000000e+02
7,52,4.360000000000e+02
7,53,1.160000000000e+02
7,54,5.000000000000e+00
7,55,0.000000000000e+00
7,56,0.000000000000e+00
7,57,0.000000000000e+00
7,58,0.000000000000e+00
7,59,0.000000000000e+00
7,60,0.000000000000e+00
7,61,0.000000000000e+00
7,62,0.000000000000e+00
7,63,0.000000000000e+00
7,64,0.000000000000e+00
7,65,0.000000000000e+00
7,66,0.000000000000e+00
7,67,0.000000000000e+00
7,68,0.000000000000e+00
7,69,0.000000000000e+00
7,70,0.000000000000e+00
7,71,0.000000000000e+00
7,72,0.000000000000e+00
7,73,0.000000000000e+00
7,74,0.000000000000e+00
7,75,0.000000000000e+00
7,76,0.000000000000e+00
7,77,0.000000000000e+00
7,78,0.000000000000e+00
7,79,0.000000000000e+00
7,80,0.000000000000e+00
8,1,0.000000000000e+00
8,2,0.000000000000e+00
8,3,0.000000000000e+00
8,4,1.000000000000e+00
8,5,2.090000000000e+02
8,6,1.201000000000e+03
8,7,9.170000000000e+02
8,8,7.940000000000e+02
8,9,1.038000000000e+03
8,10,1.275000000000e+03
8,11,1.355000000000e+03
8,12,1.390000000000e+03
8,13,1.470000000000e+03
8,14,1.621000000000e+03
8,15,1.694000000000e+03
8,16,1.686000000000e+03
8,17,1.770000000000e+03
8,18,1.738000000000e+03
8,19,1.727000000000e+03
8,20,1.750000000000e+03
8,21,1.689000000000e+03
8,22,1.779000000000e+03
8,23,1.733000000000e+03
8,24,1.712000000000e+03
8,25,1.739000000000e+03
8,26,1.715000000000e+03
8,27,1.746000000000e+03
8,28,1.700000000000e+03
8,29,1.768000000000e+03
8,30,1.727000000000e+03
8,31,1.830000000000e+03
8,32,1.785000000000e+03
8,33,1.749000000000e+03
8,34,1.778000000000e+03
8,35,1.819000000000e+03
8,36,1.845000000000e+03
8,37,1.860000000000e+03
8,38,1.871000000000e+03
8,39,1.873000000000e+03
8,40,1.966000000000e+03
8,41,1.878000000000e+03
8,42,1.925000000000e+03
8,43,1.930000000000e+03
8,44,1.906000000000e+03
8,45,1.963000000000e+03
8,46,1.957000000000e+03
8,47,1.979000000000e+03
8,48,1.903000000000e+03
8,49,1.787000000000e+03
8,50,1.633000000000e+03
8,51,1.246000000000e+03
8,52,9.080000000000e+02
8,53,4.850000000000e+02
8,54,9.700000000000e+01
8,55,5.000000000000e+00
8,56,0.000000000000e+00
8,57,0.000000000000e+00
8,58,0.000000000000e+00
8,59,0.000000000000e+00
8,60,0.000000000000e+00
8,61,1.000000000000e+00
8,62,0.000000000000e+00
8,63,0.000000000000e+00
8,64,0.000000000000e+00
8,65,0.000000000000e+00
8,66,0.000000000000e+00
8,67,0.000000000000e+00
8,68,0.000000000000e+00
8,69,0.000000000000e+00
8,70,0.000000000000e+00
8,71,0.000000000000e+00
8,72,0.000000000000e+00
8,73,0.000000000000e+00
8,74,0.000000000000e+00
8,75,0.000000000000e+00
8,76,0.000000000000e+00
8,77,0.000000000000e+00
8,78,0.000000000000e+00
8,79,0.000000000000e+00
8,80,0.000000000000e+00
9,1,0.000000000000e+00
9,2,0.000000000000e+00
9,3,0.000000000000e+00
9,4,8.000000000000e+01
9,5,1.050000000000e+03
9,6,9.300000000000e+02
9,7,7.870000000000e+02
9,8,1.011000000000e+03
9,9,1.293000000000e+03
9,10,1.383000000000e+03
9,11,1.437000000000e+03
9,12,1.521000000000e+03
9,13,1.633000000000e+03
9,14,1.650000000000e+03
9,15,1.689000000000e+03
9,16,1.701000000000e+03
9,17,1.723000000000e+03
9,18,1.776000000000e+03
9,19,1.703000000000e+03
9,20,1.725000000000e+03
9,21,1.734000000000e+03
9,22,1.710000000000e+03
9,23,1.756000000000e+03
9,24,1.769000000000e+03
9,25,1.730000000000e+03
9,26,1.765000000000e+03
9,27,1.763000000000e+03
9,28,1.698000000000e+03
9,29,1.772000000000e+03
9,30,1.700000000000e+03
9,31,1.813000000000e+03
9,32,1.824000000000e+03
9,33,1.903000000000e+03
9,34,1.750000000000e+03
9,35,1.873000000000e+03
9,36,1.935000000000e+03
9,37,1.895000000000e+03
9,38,1.928000000000e+03
9,39,1.960000000000e+03
9,40,1.921000000000e+03
9,41,1.863000000000e+03
9,42,1.926000000000e+03
9,43,1.920000000000e+03
9,44,1.931000000000e+03
9,45,1.955000000000e+03
9,46,1.939000000000e+03
9,47,2.045000000000e+03
9,48,1.926000000000e+03
9,49,1.944000000000e+03
9,50,1.702000000000e+03
9,51,1.509000000000e+03
9,52,1.176000000000e+03
9,53,8.850000000000e+02
9,54,4.130000000000e+02
9,55,9.100000000000e+01
9,56,4.000000000000e+00
9,57,0.000000000000e+00
9,58,0.000000000000e+00
9,59,0.000000000000e+00
9,60,0.000000000000e+00
9,61,0.000000000000e+00
9,62,0.000000000000e+00
9,63,0.000000000000e+00
9,64,0.000000000000e+00
9,65,0.000000000000e+00
9,66,0.000000000000e+00
9,67,0.000000000000e+00
9,68,0.000000000000e+00
9,69,0.000000000000e+00
9,70,0.000000000000e+00
9,71,0.000000000000e+00
9,72,0.000000000000e+00
9,73,0.000000000000e+00
9,74,0.000000000000e+00
9,75,0.000000000000e+00
9,76,0.000000000000e+00
9,77,0.000000000000e+00
9,78,0.000000000000e+00
9,79,0.000000000000e+00
9,80,0.000000000000e+00
10,1,0.000000000000e+00
10,2,0.000000000000e+00
10,3,0.000000000000e+00
10,4,7.060000000000e+02
10,5,9.970000000000e+02
10,6,8.060000000000e+02
10,7,1.073000000000e+03
10,8,1.375000000000e+03
10,9,1.444000000000e+03
10,10,1.497000000000e+03
10,11,1.561000000000e+03
10,12,1.724000000000e+03
10,13,1.686000000000e+03
10,14,1.672000000000e+03
10,15,1.770000000000e+03
10,16,1.729000000000e+03
10,17,1.721000000000e+03
10,18,1.689000000000e+03
10,19,1.633000000000e+03
10,20,1.688000000000e+03
10,21,1.721000000000e+03
10,22,1.711000000000e+03
10,23,1.737000000000e+03
10,24,1.701000000000e+03
10,25,1.675000000000e+03
10,26,1.695000000000e+03
10,27,1.715000000000e+03
10,28,1.836000000000e+03
10,29,1.801000000000e+03
10,30,1.808000000000e+03
10,31,1.870000000000e+03
10,32,1.885000000000e+03
10,33,1.802000000000e+03
10,34,1.860000000000e+03
10,35,1.834000000000e+03
10,36,1.848000000000e+03
10,37,1.934000000000e+03
10,38,1.878000000000e+03
10,39,1.964000000000e+03
10,40,1.931000000000e+03
10,41,1.939000000000e+03
10,42,1.921000000000e+03
10,43,1.964000000000e+03
10,44,1.938000000000e+03
10,45,1.953000000000e+03
10,46,1.964000000000e+03
10,47,2.027000000000e+03
10,48,1.983000000000e+03
10,49,1.832000000000e+03
10,50,1.826000000000e+03
10,51,1.694000000000e+03
10,52,1.487000000000e+03
10,53,1.146000000000e+03
10,54,7.510000000000e+02
10,55,3.240000000000e+02
10,56,6.400000000000e+01
10,57,1.000000000000e+00
10,58,0.000000000000e+00
10,59,0.000000000000e+00
10,60,0.000000000000e+00
10,61,0.000000000000e+00
10,62,0.000000000000e+00
10,63,0.000000000000e+00
10,64,0.000000000000e+00
10,65,0.000000000000e+00
10,66,0.000000000000e+00
10,67,0.000000000000e+00
10,68,0.000000000000e+00
10,69,0.000000000000e+00
10,70,0.000000000000e+00
10,71,0.000000000000e+00
10,72,0.000000000000e+00
10,73,0.000000000000e+00
10,74,0.000000000000e+00
10,75,0.000000000000e+00
10,76,0.000000000000e+00
10,77,0.000000000000e+00
10,78,0.000000000000e+00
10,79,0.000000000000e+00
10,80,0.000000000000e+00
11,1,0.000000000000e+00
11,2,0.000000000000e+00
11,3,0.000000000000e+00
11,4,5.700000000000e+02
11,5,7.370000000000e+02
11,6,1.081000000000e+03
11,7,1.285000000000e+03
11,8,1.360000000000e+03
11,9,1.498000000000e+03
11,10,1.577000000000e+03
11,11,1.643000000000e+03
11,12,1.738000000000e+03
11,13,1.768000000000e+03
11,14,1.657000000000e+03
11,15,1.733000000000e+03
11,16,1.715000000000e+03
11,17,1.669000000000e+03
11,18,1.694000000000e+03
11,19,1.716000000000e+03
11,20,1.713000000000e+03
11,21,1.743000000000e+03
11,22,1.732000000000e+03
11,23,1.731000000000e+03
11,24,1.751000000000e+03
11,25,1.789000000000e+03
11,26,1.745000000000e+03
11,27,1.772000000000e+03
11,28,1.745000000000e+03
11,29,1.703000000000e+03
11,30,1.761000000000e+03
11,31,1.830000000000e+03
11,32,1.794000000000e+03
11,33,1.786000000000e+03
11,34,1.735000000000e+03
11,35,1.832000000000e+03
11,36,1.863000000000e+03
11,37,1.891000000000e+03
11,38,1.890000000000e+03
11,39,1.918000000000e+03
11,40,1.955000000000e+03
11,41,1.915000000000e+03
11,42,1.867000000000e+03
11,43,1.950000000000e+03
11,44,1.964000000000e+03
11,45,1.890000000000e+03
11,46,2.001000000000e+03
11,47,1.968000000000e+03
11,48,2.044000000000e+03
11,49,2.009000000000e+03
11,50,1.842000000000e+03
11,51,1.867000000000e+03
11,52,1.658000000000e+03
11,53,1.373000000000e+03
11,54,1.083000000000e+03
11,55,6.320000000000e+02
11,56,2.480000000000e+02
11,57,3.800000000000e+01
11,58,1.000000000000e+00
11,59,0.000000000000e+00
11,60,0.000000000000e+00
11,61,0.000000000000e+00
11,62,0.000000000000e+00
11,63,0.000000000000e+00
11,64,0.000000000000e+00
11,65,0.000000000000e+00
11,66,0.000000000000e+00
11,67,0.000000000000e+00
11,68,0.000000000000e+00
11,69,0.000000000000e+00
11,70,0.000000000000e+00
11,71,0.000000000000e+00
11,72,0.000000000000e+00
11,73,0.000000000000e+00
11,74,0.000000000000e+00
11,75,0.000000000000e+00
11,76,0.000000000000e+00
11,77,0.000000000000e+00
11,78,0.000000000000e+00
11,79,0.000000000000e+00
11,80,0.000000000000e+00
12,1,0.000000000000e+00
12,2,0.000000000000e+00
12,3,0.000000000000e+00
12,4,4.230000000000e+02
12,5,1.026000000000e+03
12,6,1.224000000000e+03
12,7,1.367000000000e+03
12,8,1.533000000000e+03
12,9,1.600000000000e+03
12,10,1.615000000000e+03
12,11,1.701000000000e+03
12,12,1.753000000000e+03
12,13,1.726000000000e+03
12,14,1.736000000000e+03
12,15,1.722000000000e+03
12,16,1.696000000000e+03
12,17,1.649000000000e+03
12,18,1.659000000000e+03
12,19,1.683000000000e+03
12,20,1.731000000000e+03
12,21,1.747000000000e+03
12,22,1.759000000000e+03
12,23,1.706000000000e+03
12,24,1.742000000000e+03
12,25,1.760000000000e+03
12,26,1.785000000000e+03
12,27,1.804000000000e+03
12,28,1.754000000000e+03
12,29,1.723000000000e+03
12,30,1.854000000000e+03
12,31,1.806000000000e+03
12,32,1.723000000000e+03
12,33,1.900000000000e+03
12,34,1.856000000000e+03
12,35,1.822000000000e+03
12,36,1.851000000000e+03
12,37,1.851000000000e+03
12,38,1.940000000000e+03
12,39,1.955000000000e+03
12,40,1.844000000000e+03
12,41,1.919000000000e+03
12,42,1.939000000000e+03
12,43,1.914000000000e+03
12,44,1.918000000000e+03
12,45,1.911000000000e+03
12,46,1.876000000000e+03
12,47,2.010000000000e+03
12,48,2.027000000000e+03
12,49,2.030000000000e+03
12,50,1.974000000000e+03
12,51,1.842000000000e+03
12,52,1.828000000000e+03
12,53,1.564000000000e+03
12,54,1.358000000000e+03
12,55,9.860000000000e+02
12,56,5.410000000000e+02
12,57,1.860000000000e+02
12,58,2.500000000000e+01
12,59,0.000000000000e+00
12,60,0.000000000000e+00
12,61,0.000000000000e+00
12,62,0.000000000000e+00
12,63,0.000000000000e+00
12,64,0.000000000000e+00
12,65,0.000000000000e+00
12,66,0.000000000000e+00
12,67,0.000000000000e+00
12,68,0.000000000000e+00
12,69,0.000000000000e+00
12,70,0.000000000000e+00
12,71,0.000000000000e+00
12,72,0.000000000000e+00
12,73,0.000000000000e+00
12,74,0.000000000000e+00
12,75,0.000000000000e+00
12,76,0.000000000000e+00
12,77,0.000000000000e+00
12,78,0.000000000000e+00
12,79,0.000000000000e+00
12,80,0.000000000000e+00
13,1,0.000000000000e+00
13,2,0.000000000000e+00
13,3,0.000000000000e+00
13,4,5.700000000000e+02
13,5,1.231000000000e+03
13,6,1.409000000000e+03
13,7,1.488000000000e+03
13,8,1.623000000000e+03
13,9,1.742000000000e+03
13,10,1.664000000000e+03
13,11,1.772000000000e+03
13,12,1.745000000000e+03
13,13,1.834000000000e+03
13,14,1.698000000000e+03
13,15,1.735000000000e+03
13,16,1.708000000000e+03
13,17,1.685000000000e+03
13,18,1.676000000000e+03
13,19,1.706000000000e+03
13,20,1.742000000000e+03
13,21,1.784000000000e+03
13,22,1.722000000000e+03
13,23,1.739000000000e+03
13,24,1.736000000000e+03
13,25,1.900000000000e+03
13,26,1.737000000000e+03
13,27,1.765000000000e+03
13,28,1.770000000000e+03
13,29,1.826000000000e+03
13,30,1.823000000000e+03
13,31,1.846000000000e+03
13,32,1.879000000000e+03
13,33,1.856000000000e+03
13,34,1.816000000000e+03
13,35,1.901000000000e+03
13,36,1.841000000000e+03
